id,french,pronunciation,english,part_of_speech,lemma_id,form_type,tense,mood,person,grammatical_number,cefr_level,category,gender,variant
sacharner,s'acharner,sah-shar-nay,to obsess over / go at relentlessly,verb,sacharner,infinitive,,,,,C2,Emotions,,shared
remarquer,remarquer,ruh-mar-kay,notice,verb,remarquer,infinitive,,,,,C2,Communication,,shared
capable,capable,kah-pab,capable / able,adjective,,,,,,,C2,Descriptions,,shared
vieillissant,vieillissant,vay-ee-sahn,aging / old-fashioned,adjective,,,,,,,C2,Descriptions,,shared
grandes_villes,grandes villes,grahnd veel,big cities,noun,,,,,,,C2,Places,Feminine,shared
grand_maman,grand-maman,grahn-mah-mahn,grandma,noun,,,,,,,C2,People,Feminine,quebecois
nous_autres,nous autres,noo zot,us / we people,pronoun,,,,,,,C2,Quebec Expressions,,quebecois
me_semble,me semble,muh sahmbl,seems to me,expression,,,,,,,C2,Quebec Expressions,,quebecois
argent,argent,ar-zhahn,money,noun,,,,,,,C2,Commerce,Masculine,shared
niaiseux,niaiseux,nee-ay-zuh,dumb / silly,adjective,,,,,,,C2,Descriptions,,quebecois
bord,bord,bor,side,noun,,,,,,,C2,Places,Masculine,shared
campagne,campagne,kahm-pahn,countryside,noun,,,,,,,C2,Places,Feminine,shared
leux,leux,luh,their / theirs (Quebec pronunciation),pronoun,,,,,,,C2,Quebec Expressions,,quebecois
affaires,affaire(s),ah-fair,thing / stuff / business,noun,,,,,,,C2,Communication,Feminine,shared
pitcher,pitcher,pee-tshay,to throw,verb,pitcher,infinitive,,,,,C2,Actions,,quebecois
cahier,cahier,kah-yay,notebook,noun,,,,,,,C2,Education,Masculine,shared
entrainer,entraîner,ahn-tray-nay,train / practice,verb,entrainer,infinitive,,,,,C2,Self-Development,,shared
oreille,oreille,oh-ray,ear,noun,,,,,,,C2,Body,Feminine,shared
accent,accent,ak-sahn,accent,noun,,,,,,,C2,Linguistics,Masculine,shared
r_roule,R roulé,air roo-lay,rolled R,expression,,,,,,,C2,Linguistics,,quebecois
faites_pas_le_saut,faites pas le saut,fet pah luh so,don't freak out / don't jump,expression,,,,,,,C2,Social,,quebecois
ouain,ouain,wahn,yeah,interjection,,,,,,,C2,Quebec Expressions,,quebecois
icitte,icitte,ee-seet,here,adverb,,,,,,,C2,Quebec Expressions,,quebecois
bermudas,bermudas,ber-moo-dah,shorts,noun,,,,,,,C2,Clothing,Masculine,shared
drole,drôle,drohl,funny / weird,adjective,,,,,,,C2,Descriptions,,shared
rare,rare,rahr,rare,adjective,,,,,,,C2,Descriptions,,shared
batard,bâtard,bah-tar,bastard,noun,,,,,,,C2,Quebec Expressions,Masculine,quebecois
dehors_douwors,dehors / douwors,duh-or / doo-wor,outside,adverb,,,,,,,C2,Quebec Expressions,,quebecois
entourage,entourage,ahn-too-rahj,social circle,noun,,,,,,,C2,Social,Masculine,shared
prosodie,prosodie,proh-zoh-dee,prosody / rhythm of speech,noun,,,,,,,C2,Linguistics,Feminine,shared
hauteur,hauteur,oh-tuhr,pitch / height,noun,,,,,,,C2,Linguistics,Feminine,shared
syllabe,syllabe,see-lab,syllable,noun,,,,,,,C2,Linguistics,Feminine,shared
colere,colère,koh-lair,anger,noun,,,,,,,C2,Emotions,Feminine,shared
surprise,surprise,sur-preez,surprise,noun,,,,,,,C2,Emotions,Feminine,shared
sacre,sacre,sahkrr,Quebec swear word,noun,,,,,,,C2,Quebec Expressions,Masculine,quebecois
debarquer_du_lit,débarquer du lit,day-bar-kay doo lee,jump / get out of bed,verb,debarquer_du_lit,infinitive,,,,,C2,Daily Life,,quebecois
en_criss,en criss,ahn kreess,pissed off / intensely,expression,,,,,,,C2,Emotions,,quebecois
