id,french,pronunciation,english,part_of_speech,lemma_id,form_type,tense,mood,person,grammatical_number,cefr_level,category,gender,variant
petit,petit,puh-tee,small / little,adjective,,,,,,,A1,Descriptions,,shared
petit_f,petite,puh-teet,small / little (Feminine),adjective,petit,inflected,,,,singular,A1,Descriptions,Feminine,shared
petit_m_pl,petits,puh-tee,small / little (Masculine plural),adjective,petit,inflected,,,,plural,A1,Descriptions,Masculine,shared
petit_f_pl,petites,puh-teet,small / little (Feminine plural),adjective,petit,inflected,,,,plural,A1,Descriptions,Feminine,shared
ami,ami,ah-mee,friend,noun,,,,,,,A1,People,Masculine,shared
ami_pl,amis,ah-mee,friends,noun,ami,plural,,,,plural,A1,People,Masculine,shared
ville,ville,veel,city / town,noun,,,,,,,A1,Places,Feminine,shared
ville_pl,villes,veel,cities / towns,noun,ville,plural,,,,plural,A1,Places,Feminine,shared
travailler,travailler,trah-vai-yay,to work,verb,travailler,infinitive,,,,,A1,Work,,shared
travailler_je,travaille,trah-vai,work,verb,travailler,conjugated,present,indicative,first,singular,A1,Work,,shared
travailler_tu,travailles,trah-vai,you work,verb,travailler,conjugated,present,indicative,second,singular,A1,Work,,shared
travailler_il,travaille,trah-vai,works,verb,travailler,conjugated,present,indicative,third,singular,A1,Work,,shared
travailler_nous,travaillons,trah-vai-yohn,we work,verb,travailler,conjugated,present,indicative,first,plural,A1,Work,,shared
travailler_vous,travaillez,trah-vai-yay,you work (formal/plural),verb,travailler,conjugated,present,indicative,second,plural,A1,Work,,shared
travailler_ils,travaillent,trah-vai,they work,verb,travailler,conjugated,present,indicative,third,plural,A1,Work,,shared
char,char,shar,car,noun,,,,,,,A1,Transport,Masculine,quebecois
char_pl,chars,shar,cars,noun,char,plural,,,,plural,A1,Transport,Masculine,quebecois
bienvenue,bienvenue,bee-ehn-vuh-new,welcome,expression,,,,,,,A1,Social,,quebecois
